property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
0.0,59.0,3,4,4.0,0.0,1870.0,1,0,2,0.0,2.0,1.8
0.0,109.0,2,2,2.0,1.0,71698.89,0,0,1,1.0,2.0,0.38
0.0,22.0,4,4,0.0,2.0,3250.0,0,0,1,1.0,2.0,4.26
1.0,49.0,3,3,2.0,3.0,76.0,0,0,1,1.0,1.0,0.67
0.0,8.0,2,2,3.0,3.0,1611.11,0,0,1,2.0,0.0,0.85
0.0,56.0,3,3,3.0,2.0,1700.0,0,0,2,2.0,0.0,1.6
0.0,17.0,1,1,1.0,3.0,374.44,0,0,0,2.0,1.0,0.5
1.0,33.0,5,4,4.0,0.0,4518.0,1,1,2,2.0,2.0,18.0
1.0,15.0,2,2,0.0,3.0,450.0,0,0,1,1.0,1.0,0.24
0.0,43.0,2,2,2.0,3.0,654.05,0,0,1,2.0,2.0,0.65
0.0,6.0,2,2,2.0,1.0,1163.21,0,0,2,1.0,0.0,1.4
1.0,46.0,1,1,0.0,3.0,1535.0,0,0,1,1.0,1.0,1.16
0.0,19.0,3,4,4.0,1.0,2200.0,1,0,1,0.0,0.0,3.35
0.0,75.0,3,3,3.0,3.0,1256.76,1,0,0,0.0,2.0,1.73
1.0,32.0,5,4,3.0,2.0,1350.0,1,0,1,1.0,2.0,4.35
0.0,99.0,2,2,3.0,3.0,1485.0,0,0,1,1.0,2.0,1.12
0.0,62.0,3,4,3.0,2.0,3222.22,1,0,2,1.0,2.0,5.0
0.0,9.0,3,2,1.0,3.0,1111.11,0,0,1,1.0,1.0,0.42
1.0,13.0,4,4,4.0,1.0,5400.0,1,0,2,0.0,1.0,6.5
1.0,83.0,3,3,4.0,3.0,1611.11,0,0,2,2.0,1.0,1.04
0.0,103.0,3,2,0.0,1.0,1423.0,0,0,1,1.0,2.0,1.71
0.0,13.0,3,3,3.0,3.0,1650.0,0,1,2,0.0,0.0,1.65
1.0,12.0,1,1,0.0,3.0,2680.0,0,0,1,1.0,1.0,1.34
1.0,29.0,7,5,4.0,2.0,2367.0,0,0,2,1.0,2.0,4.75
1.0,32.0,5,6,4.0,2.0,3618.0,0,0,2,2.0,2.0,13.5
0.0,12.0,3,3,4.0,3.0,1276.0,0,0,1,2.0,2.0,1.2
1.0,41.0,2,2,3.0,3.0,1400.0,0,0,2,2.0,1.0,1.15
0.0,113.0,2,2,2.0,3.0,514.85,0,0,1,1.0,2.0,0.3
1.0,7.0,3,5,4.0,3.0,3534.0,0,0,1,1.0,2.0,2.25
0.0,6.0,2,2,2.0,3.0,739.94,0,0,1,0.0,2.0,0.97
0.0,8.0,2,2,0.0,3.0,1259.0,0,0,1,1.0,0.0,0.9
0.0,8.0,3,3,4.0,3.0,2207.21,1,0,2,2.0,0.0,2.49
0.0,46.0,3,3,4.0,0.0,1594.59,0,0,1,1.0,0.0,1.0
0.0,62.0,3,4,3.0,4.0,2648.65,1,0,0,1.0,2.0,8.25
0.0,0.0,3,3,3.0,1.0,1351.35,0,0,1,1.0,2.0,2.0
0.0,65.0,3,3,4.0,2.0,1800.0,1,0,1,0.0,2.0,1.55
0.0,3.0,2,2,2.0,3.0,1081.08,0,0,1,1.0,2.0,0.67
0.0,91.0,3,4,3.0,4.0,1936.94,0,0,1,2.0,0.0,1.9
0.0,109.0,2,2,2.0,1.0,808.89,0,0,1,2.0,0.0,0.46
0.0,84.0,2,2,1.0,0.0,639.0,0,0,1,2.0,2.0,0.59
0.0,103.0,2,2,2.0,4.0,1441.11,0,0,1,1.0,2.0,0.8
1.0,32.0,6,7,4.0,0.0,1800.0,1,0,2,2.0,1.0,6.6
